obs_ID,study_ID,year,Ntot,es,var,meta_ID,note,abs_Eff,research_aim
obs_215,Harris_et_al_2010,2010,12,-0.61,0.349,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.61,animal
obs_216,Harris_et_al_2010,2010,12,0.23,0.336,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.23,animal
obs_217,Harris_et_al_2009,2009,12,0.88,0.366,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.88,animal
obs_218,Harris_et_al_2009,2009,12,0.66,0.351,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.66,animal
obs_219,Harris_et_al_2008,2008,12,0.52,0.344,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.52,animal
obs_220,Harris_et_al_2008,2008,12,-0.08,0.334,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.08,animal
obs_221,Harris_et_al_2008,2008,12,0.42,0.341,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.42,animal
obs_222,Harris_et_al_2008,2008,12,0.53,0.345,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.53,animal
obs_223,Harris_et_al_2008,2008,12,-0.74,0.356,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.74,animal
obs_224,Harris_et_al_2008,2008,12,-0.22,0.335,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.22,animal
obs_225,Hendershott_et_al_2016,2016,21,0.14,0.191,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.14,animal
obs_226,Hendershott_et_al_2016,2016,23,0.73,0.186,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.73,animal
obs_227,Hori_et_al_2014,2014,12,0.35,0.339,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.35,animal
obs_228,Hori_et_al_2014,2014,12,-0.16,0.334,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.16,animal
obs_229,Hori_et_al_2014,2014,13,-0.14,0.31,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.14,animal
obs_230,Hui_et_al_2011,2011,27,2.36,0.252,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.36,animal
obs_231,Hui_et_al_2011,2011,26,0.64,0.162,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.64,animal
obs_232,Hullinger_et_al_2015,2015,10,0.49,0.429,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.49,animal
obs_233,Hullinger_et_al_2015,2015,10,1.13,0.481,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.13,animal
obs_234,Hullinger_et_al_2015,2015,10,1.49,0.528,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.49,animal
obs_235,Hullinger_et_al_2015,2015,10,1.8,0.578,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.8,animal
obs_236,Kosten_et_al_2007,2007,21,0.2,0.195,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.2,animal
obs_237,Kosten_et_al_2007,2007,21,0.1,0.195,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.1,animal
obs_238,Krause_et_al_2006,2006,20,0.05,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.05,animal
obs_239,Langdon_Corbett_2012,2012,16,0.67,0.264,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.67,animal
obs_240,Langdon_Corbett_2012,2012,17,0.39,0.241,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_241,Langdon_Corbett_2012,2012,17,0.85,0.258,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.85,animal
obs_242,Langdon_Corbett_2012,2012,16,0.09,0.25,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.09,animal
obs_243,Langley_et_al_2018,2018,17,-0.07,0.327,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.07,animal
obs_244,Langley_et_al_2018,2018,17,1.07,0.361,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.07,animal
obs_245,Leggio_et_al_2005,2005,36,1.08,0.128,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.08,animal
obs_246,Leggio_et_al_2005,2005,36,0.75,0.119,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.75,animal
obs_247,Leggio_et_al_2005,2005,36,0.78,0.12,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.78,animal
obs_248,Leggio_et_al_2005,2005,36,1.49,0.142,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.49,animal
obs_249,Lehmann_et_al_1999,1999,8,1.74,0.689,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.74,animal
obs_250,Lehmann_et_al_1999,1999,8,-0.52,0.517,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.52,animal
obs_251,Lehmann_et_al_1999,1999,8,0.49,0.515,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.49,animal
obs_252,Lehmann_et_al_1999,1999,8,-0.67,0.528,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.67,animal
obs_253,Lehmann_et_al_1999,1999,8,-1.01,0.564,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.01,animal
obs_254,Lehmann_et_al_1999,1999,8,-1.01,0.564,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.01,animal
obs_255,Lehmann_et_al_1999,1999,32,-0.05,0.125,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.05,animal
obs_256,Lehmann_et_al_1999,1999,32,0.49,0.129,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.49,animal
obs_257,Lehmann_et_al_1999,1999,32,0.39,0.127,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_258,Li_et_al_2008,2008,16,0.29,0.253,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_259,Li_et_al_2008,2008,16,0.47,0.257,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.47,animal
obs_260,Li_et_al_2008,2008,16,-0.71,0.266,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.71,animal
obs_261,Li_et_al_2008,2008,16,0.89,0.275,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.89,animal
obs_262,Liedtke_Schneider_2017,2017,47,3.59,0.226,ma08_01,the_authors_used_abs_eff_in_their_analysis,3.59,animal
obs_263,Liedtke_Schneider_2017,2017,61,2.85,0.133,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.85,animal
obs_264,Liedtke_Schneider_2017,2017,44,-1.22,0.109,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.22,animal
obs_265,Liedtke_Schneider_2017,2017,51,-1,0.092,ma08_01,the_authors_used_abs_eff_in_their_analysis,1,animal
obs_266,Liu_et_al_2000,2000,40,0.46,0.103,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.46,animal
obs_267,Lores-Arnaiz_et_al_2007,2007,24,1.09,0.191,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.09,animal
obs_268,Lores-Arnaiz_et_al_2007,2007,24,0.34,0.169,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.34,animal
obs_269,Lyst_et_al_2012,2012,24,0.62,0.175,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.62,animal
obs_270,Machatschke_et_al_2011,2011,38,0.38,0.107,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.38,animal
obs_271,Maghami_et_al_2018,2018,16,-0.02,0.25,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.02,animal
obs_272,Martinez_et_al_2016,2016,26,0.13,0.163,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.13,animal
obs_273,Martinez_et_al_2016,2016,22,0.45,0.188,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_274,Matzel_et_al_2019,2019,230,0.16,0.017,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.16,animal
obs_275,Meagher_et_al_2015,2015,15,0.74,0.286,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.74,animal
obs_276,Meagher_et_al_2015,2015,22,-0.5,0.189,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.5,animal
obs_277,Meagher_et_al_2015,2015,20,-0.22,0.201,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.22,animal
obs_278,Meagher_et_al_2015,2015,22,0.72,0.195,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.72,animal
obs_279,Meagher_et_al_2015,2015,32,0.82,0.156,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.82,animal
obs_280,Meaney_et_al_1988,1988,24,0.2,0.168,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.2,animal
obs_281,Meaney_et_al_1988,1988,24,0.5,0.172,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.5,animal
obs_282,Meaney_et_al_1988,1988,24,1.14,0.194,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.14,animal
obs_283,Mitsushima_et_al_2001,2001,18,-1.06,0.256,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.06,animal
obs_284,Mitsushima_et_al_2001,2001,16,-0.67,0.264,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.67,animal
obs_285,Miu_et_al_2006,2006,12,1.09,0.383,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.09,animal
obs_286,Miu_et_al_2006,2006,12,-0.15,0.334,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.15,animal
obs_287,Mohammed_et_al_1990,1990,12,2.19,0.533,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.19,animal
obs_288,Mohammed_et_al_1990,1990,12,0.25,0.336,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.25,animal
obs_289,Mohammed_et_al_1990,1990,12,2.13,0.522,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.13,animal
obs_290,Mohammed_et_al_1990,1990,12,0.45,0.342,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_291,Mohanty_Behera_1997,1997,20,1.94,0.294,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.94,animal
obs_292,Mohanty_Behera_1997,1997,20,3.66,0.535,ma08_01,the_authors_used_abs_eff_in_their_analysis,3.66,animal
obs_293,Mora-Gallegos_et_al_2015,2015,34,1.84,0.168,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.84,animal
obs_294,Mora-Gallegos_et_al_2015,2015,31,0.65,0.136,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.65,animal
obs_295,Nettle_et_al_2015,2015,34,-0.1,0.118,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.1,animal
obs_296,Nettle_et_al_2015,2015,34,-0.14,0.118,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.14,animal
obs_297,Nettle_et_al_2015,2015,34,-0.16,0.118,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.16,animal
obs_298,Nilsson_et_al_1993,1993,14,0.75,0.306,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.75,animal
obs_299,Noschang_et_al_2010,2010,19,0.33,0.214,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.33,animal
obs_300,Noschang_et_al_2010,2010,14,-1.23,0.34,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.23,animal
obs_301,Nunez_et_al_1995,1995,30,0.75,0.143,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.75,animal
obs_302,Nunez_et_al_1995,1995,30,0.68,0.141,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.68,animal
obs_303,Oitzl_et_al_2000,2000,15,0.43,0.274,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.43,animal
obs_304,Oitzl_et_al_2000,2000,23,1.02,0.197,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.02,animal
obs_305,Oitzl_et_al_2000,2000,23,0,0.174,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_306,Oitzl_et_al_2000,2000,23,0.45,0.179,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_307,Oitzl_et_al_2000,2000,23,-0.68,0.184,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.68,animal
obs_308,Oitzl_et_al_2000,2000,18,-0.3,0.227,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_309,Oitzl_et_al_2000,2000,49,0.32,0.083,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.32,animal
obs_310,Okudan_Belviranli_2017,2017,12,0.31,0.337,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.31,animal
obs_311,Oomen_et_al_2010,2010,20,0.53,0.207,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.53,animal
obs_312,Oomen_et_al_2011,2011,20,-0.36,0.203,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.36,animal
obs_313,Passig_et_al_1996,1996,13,0.26,0.312,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.26,animal
obs_314,Passig_et_al_1996,1996,13,1.15,0.36,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.15,animal
obs_315,Passig_et_al_1996,1996,14,-0.15,0.286,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.15,animal
obs_316,Passig_et_al_1996,1996,14,0.21,0.287,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.21,animal
obs_317,Passig_et_al_1996,1996,14,-0.23,0.288,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.23,animal
obs_318,Paylor_et_al_1992,1992,19,-0.55,0.219,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.55,animal
obs_319,Paylor_et_al_1992,1992,23,0.68,0.184,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.68,animal
obs_320,Paylor_et_al_1992,1992,44,0,0.091,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_321,Pena_et_al_2009,2009,15,0.45,0.275,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.45,animal
obs_322,Pena_et_al_2009,2009,25,0.46,0.165,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.46,animal
obs_323,Pham_et_al_1999,1999,15,0.8,0.289,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.8,animal
obs_324,Pham_et_al_1999,1999,14,0.15,0.287,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.15,animal
obs_325,Pham_et_al_1999,1999,15,0.55,0.278,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.55,animal
obs_326,Pham_et_al_1997,1997,15,0.74,0.286,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.74,animal
obs_327,Pham_et_al_1997,1997,15,1.45,0.338,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.45,animal
obs_328,Pietropaolo_et_al_2006,2006,27,-0.19,0.149,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.19,animal
obs_329,Pietropaolo_et_al_2006,2006,27,-0.61,0.155,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.61,animal
obs_330,Pietropaolo_et_al_2006,2006,26,-0.08,0.154,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.08,animal
obs_331,Pietropaolo_et_al_2006,2006,27,-0.56,0.154,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.56,animal
obs_332,Pietropaolo_et_al_2006,2006,27,-0.46,0.152,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.46,animal
obs_333,Pietropaolo_et_al_2006,2006,26,-0.32,0.156,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.32,animal
obs_334,Pisu_et_al_2011,2011,60,-0.14,0.067,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.14,animal
obs_335,Plescia_et_al_2014,2014,16,0.99,0.28,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.99,animal
obs_336,Powell_et_al_2015,2015,20,-0.22,0.203,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.22,animal
obs_337,Powell_et_al_2015,2015,20,0.87,0.221,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.87,animal
obs_338,Powell_et_al_2015,2015,20,1.18,0.237,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.18,animal
obs_339,Powell_et_al_2015,2015,20,-0.53,0.209,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.53,animal
obs_340,Powell_et_al_2015,2015,20,0.48,0.208,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.48,animal
obs_341,Powell_et_al_2015,2015,20,0.91,0.223,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.91,animal
obs_342,Prusky_et_al_2000,2000,34,1.09,0.135,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.09,animal
obs_343,Pryce_et_al_2003,2003,12,1.49,0.425,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.49,animal
obs_344,Pryce_et_al_2003,2003,12,-0.72,0.355,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.72,animal
obs_345,Pryce_et_al_2003,2003,12,0.33,0.338,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.33,animal
obs_346,Pryce_et_al_2003,2003,12,-0.48,0.343,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.48,animal
obs_347,Pryce_et_al_2003,2003,16,-0.49,0.258,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.49,animal
obs_348,Pryce_et_al_2003,2003,16,0.29,0.253,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.29,animal
obs_349,Pryce_et_al_2003,2003,16,0.44,0.256,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.44,animal
obs_350,Pryce_et_al_2003,2003,16,-0.95,0.278,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.95,animal
obs_351,Punzo_Ludwig_2002,2002,32,0.34,0.129,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.34,animal
obs_352,Quan_et_al_2010,2010,14,0.78,0.307,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.78,animal
obs_353,Quan_et_al_2010,2010,14,0.92,0.316,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.92,animal
obs_354,Reeb-Sutherland_Tang_2011,2011,21,0.42,0.195,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.42,animal
obs_355,Riley_et_al_2017,2017,28,0,0.144,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_356,Riley_et_al_2018,2018,32,-0.33,0.127,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.33,animal
obs_357,Riley_et_al_2018,2018,29,-0.15,0.138,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.15,animal
obs_358,Riley_et_al_2018,2018,29,-0.24,0.139,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.24,animal
obs_359,Rountree-Harrison_et_al_2018,2018,49,0.48,0.084,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.48,animal
obs_360,Rountree-Harrison_et_al_2018,2018,13,0.56,0.322,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.56,animal
obs_361,Rountree-Harrison_et_al_2018,2018,13,0.44,0.317,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.44,animal
obs_362,Salvanes_et_al_2013,2013,25,0.46,0.165,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.46,animal
obs_363,Sampedro-Piquero_et_al_2014b,2014,20,1.35,0.245,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.35,animal
obs_364,Sampedro-Piquero_et_al_2013a,2013,20,3.31,0.474,ma08_01,the_authors_used_abs_eff_in_their_analysis,3.31,animal
obs_365,Sampedro-Piquero_et_al_2013a,2013,18,0.3,0.228,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.3,animal
obs_366,Sampedro-Piquero_et_al_2014a,2014,19,2.23,0.342,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.23,animal
obs_367,Sampedro-Piquero_et_al_2015,2015,16,2.54,0.451,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.54,animal
obs_368,Sampedro-Piquero_et_al_2015,2015,16,1.83,0.355,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.83,animal
obs_369,Sampedro-Piquero_et_al_2015,2015,16,1.76,0.347,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.76,animal
obs_370,Sampedro-Piquero_et_al_2015,2015,16,1.37,0.308,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.37,animal
obs_371,Sampedro-Piquero_et_al_2013b,2013,20,-0.11,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.11,animal
obs_372,Sampedro-Piquero_et_al_2018,2018,23,-0.02,0.177,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.02,animal
obs_373,Sampedro-Piquero_et_al_2018,2018,23,0.38,0.18,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.38,animal
obs_374,Sanchez_et_al_1998,1998,8,1.89,0.756,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.89,animal
obs_375,Sanchez_et_al_1998,1998,8,0.64,0.559,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.64,animal
obs_376,Sanchez_et_al_1998,1998,8,-0.09,0.534,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.09,animal
obs_377,Sandstrom_Hart_2005,2005,20,0,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_378,Sauce_et_al_2018,2018,208,0.16,0.019,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.16,animal
obs_379,Sauce_et_al_2018,2018,224,0.03,0.018,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.03,animal
obs_380,Sauce_et_al_2018,2018,224,0.31,0.018,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.31,animal
obs_381,Sauce_et_al_2018,2018,219,0.09,0.018,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.09,animal
obs_382,Schable_et_al_2007,2007,18,0.38,0.226,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.38,animal
obs_383,Schable_et_al_2007,2007,17,-0.06,0.236,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_384,Schable_et_al_2007,2007,18,0.07,0.222,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.07,animal
obs_385,Schrijver_et_al_2002,2002,36,-0.32,0.112,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.32,animal
obs_386,Schrijver_et_al_2002,2002,36,0.28,0.112,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.28,animal
obs_387,Schrijver_et_al_2004,2004,36,-0.34,0.113,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.34,animal
obs_388,Schrijver_et_al_2004,2004,36,0.07,0.111,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.07,animal
obs_389,Schrijver_et_al_2004,2004,28,-0.24,0.144,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.24,animal
obs_390,Schrijver_et_al_2004,2004,28,0.18,0.143,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.18,animal
obs_391,Schrijver_et_al_2004,2004,28,0.16,0.143,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.16,animal
obs_392,Schrijver_et_al_2004,2004,28,-0.44,0.146,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.44,animal
obs_393,Schrijver_et_al_2004,2004,28,0.8,0.154,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.8,animal
obs_394,Schrijver_et_al_2004,2004,28,0.32,0.145,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.32,animal
obs_395,Schrijver_et_al_2004,2004,28,-0.06,0.143,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.06,animal
obs_396,Schrijver_et_al_2004,2004,28,-0.13,0.143,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.13,animal
obs_397,Shao_et_al_2013,2013,18,0.46,0.228,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.46,animal
obs_398,Shao_et_al_2013,2013,18,-2.88,0.452,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.88,animal
obs_399,Smith_et_al_2018,2018,20,0,0.238,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_400,Smith_et_al_2018,2018,20,-0.54,0.245,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.54,animal
obs_401,Smith_et_al_2018,2018,20,-0.67,0.249,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.67,animal
obs_402,Smith_et_al_2018,2018,20,0.46,0.243,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.46,animal
obs_403,Sneddon_et_al_2000,2000,84,0.4,0.049,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.4,animal
obs_404,Soffie_et_al_1999,1999,20,0.43,0.205,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.43,animal
obs_405,Sorensen_et_al_2011,2011,39,0.05,0.103,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.05,animal
obs_406,Sorensen_et_al_2011,2011,39,-0.63,0.108,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.63,animal
obs_407,Sparling_et_al_2018,2018,48,0.16,0.084,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.16,animal
obs_408,Sparling_et_al_2018,2018,24,-0.24,0.168,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.24,animal
obs_409,Sparling_et_al_2010,2010,98,0,0.041,ma08_01,the_authors_used_abs_eff_in_their_analysis,0,animal
obs_410,Speisman_et_al_2013,2013,14,-1.55,0.371,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.55,animal
obs_411,Speisman_et_al_2013,2013,16,1.42,0.317,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.42,animal
obs_412,Spence_et_al_2011,2011,20,-0.39,0.204,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.39,animal
obs_413,Spence_et_al_2011,2011,20,0.14,0.2,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.14,animal
obs_414,Sterlemann_et_al_2010,2010,20,0.64,0.21,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.64,animal
obs_415,Sterlemann_et_al_2010,2010,16,0.63,0.262,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.63,animal
obs_416,Tang_et_al_2001,2001,26,-0.21,0.155,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.21,animal
obs_417,Teather_et_al_2002,2002,15,1.4,0.333,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.4,animal
obs_418,Teather_et_al_2002,2002,15,2.09,0.414,ma08_01,the_authors_used_abs_eff_in_their_analysis,2.09,animal
obs_419,Teather_et_al_2002,2002,15,0.41,0.273,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.41,animal
obs_420,Tees_1999a,1999,10,0.9,0.441,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.9,animal
obs_421,Tees_1999a,1999,10,1.1,0.461,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.1,animal
obs_422,Tees_1999a,1999,10,1.75,0.554,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.75,animal
obs_423,Tees_1999a,1999,10,0.71,0.425,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.71,animal
obs_424,Tees_1999b,1999,24,1.18,0.196,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.18,animal
obs_425,Toth_et_al_2008,2008,20,1.32,0.244,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.32,animal
obs_426,Toscano_et_al_2006,2006,125,1.01,0.036,ma08_01,the_authors_used_abs_eff_in_their_analysis,1.01,animal
obs_427,Vallee_et_al_1997,1997,89,0.04,0.052,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.04,animal
obs_428,Vallee_et_al_1997,1997,89,-0.08,0.052,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.08,animal
obs_429,Vallee_et_al_1999,1999,27,-0.07,0.193,ma08_01,the_authors_used_abs_eff_in_their_analysis,0.07,animal
