"Table S3. Leave-one-meta-analysis-model-out influence on the meta-analysis-level summaries.

Each of the 48 meta-analytic models is removed in turn and the summary recomputed from the remaining 47, for each of the four assumed effects, each of the three metrics,
and both weightings. `change_pct` is the percentage change in the summary caused by removing that model, and `influence_rank` orders the 48 models by the absolute size of that change within each specification, metric and weighting;
rows are sorted so that the most influential model appears first in each block.
Single-model leverage is largely a property of the weighting rather than of any model: weighting by effect-size count gives one model 22.6% of the weight and it moves the bias-robust power summary by 44.7%,
whereas under equal weighting no model moves any power summary by more than 5.1%.
The contrast is smaller but in the same direction for Type M error (34.3% against 14.3%) and for Type S error (78.0% against 34.9%), which are more sensitive to individual models because both diverge as the assumed effect approaches zero.
Nothing is excluded from any reported analysis; this is an influence diagnostic. Companion to Table S4, which removes a source paper at a time.",,,,,,,,,
,,,,,,,,,
specification,weighting,metric,dropped_model,n_effect_sizes_contributed,pct_of_effect_sizes,summary_all_48_models,summary_without,change_pct,influence_rank
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA41_04,104,1.8,0.0042,0.0043,2.3,30
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA41_01,110,1.9,0.0042,0.0043,2.3,31
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA06_02,13,0.2,0.0042,0.0043,2.3,32
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA23,24,0.4,0.0042,0.0043,2.3,33
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA13_01,43,0.7,0.0042,0.0043,2.3,34
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA10,32,0.6,0.0042,0.0043,2.3,35
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA41_03,129,2.2,0.0042,0.0043,2.3,36
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA05_02,16,0.3,0.0042,0.0043,2.3,37
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA05_03,4,0.1,0.0042,0.0043,2.3,38
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA47_1,65,1.1,0.0042,0.0042,2.2,39
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA15_01,5,0.1,0.0042,0.0042,2.1,40
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA41_02,184,3.2,0.0042,0.0042,2.1,41
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA17,66,1.1,0.0042,0.0042,2.1,42
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA13_02,37,0.6,0.0042,0.0042,1.8,43
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA06_01,33,0.6,0.0042,0.0042,1.7,44
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA22_01,92,1.6,0.0042,0.0042,1.5,45
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA20_cleaned,29,0.5,0.0042,0.0042,1.2,46
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA22_02,92,1.6,0.0042,0.0042,0.6,47
Uncorrected pooled mean,Each meta-analysis weighted equally,Type S error,MA22_03,92,1.6,0.0042,0.0042,0.6,48
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA39_1,37,0.6,0.2505,0.2592,3.5,1
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA26,459,8,0.2505,0.2592,3.5,2
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA13_03,14,0.2,0.2505,0.2591,3.4,3
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA01_02,14,0.2,0.2505,0.2589,3.3,4
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA47_1,65,1.1,0.2505,0.2588,3.3,5
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA15_04,11,0.2,0.2505,0.2588,3.3,6
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA39_2,15,0.3,0.2505,0.2587,3.3,7
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA06_02,13,0.2,0.2505,0.2583,3.1,8
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA15_01,5,0.1,0.2505,0.2581,3,9
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA45_01,28,0.5,0.2505,0.2432,-2.9,10
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA31,734,12.8,0.2505,0.2432,-2.9,11
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA14_02,167,2.9,0.2505,0.2432,-2.9,12
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA15_03,11,0.2,0.2505,0.2432,-2.9,13
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA32,13,0.2,0.2505,0.2432,-2.9,14
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA47_2,38,0.7,0.2505,0.2433,-2.9,15
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA14_01,104,1.8,0.2505,0.2433,-2.8,16
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA12,70,1.2,0.2505,0.2434,-2.8,17
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA41_04,104,1.8,0.2505,0.2436,-2.7,18
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA18,23,0.4,0.2505,0.2438,-2.7,19
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA20_cleaned,29,0.5,0.2505,0.2566,2.4,20
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA08,531,9.3,0.2505,0.2444,-2.4,21
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA43,13,0.2,0.2505,0.256,2.2,22
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA10,32,0.6,0.2505,0.2559,2.2,23
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA05_02,16,0.3,0.2505,0.2452,-2.1,24
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA23,24,0.4,0.2505,0.2557,2.1,25
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA24,139,2.4,0.2505,0.2454,-2,26
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA06_01,33,0.6,0.2505,0.2553,1.9,27
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA34,555,9.7,0.2505,0.2456,-1.9,28
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA05_03,4,0.1,0.2505,0.2456,-1.9,29
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA28_01,84,1.5,0.2505,0.2459,-1.8,30
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA41_01,110,1.9,0.2505,0.2464,-1.6,31
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA21,11,0.2,0.2505,0.2545,1.6,32
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA41_02,184,3.2,0.2505,0.2543,1.5,33
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA41_03,129,2.2,0.2505,0.2542,1.5,34
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA28_02,84,1.5,0.2505,0.2473,-1.3,35
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA05_01,17,0.3,0.2505,0.2533,1.1,36
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA09,1297,22.6,0.2505,0.2477,-1.1,37
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA45_02,11,0.2,0.2505,0.2485,-0.8,38
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA15_02,9,0.2,0.2505,0.2489,-0.6,39
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA13_01,43,0.7,0.2505,0.2519,0.6,40
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA01_03,16,0.3,0.2505,0.2517,0.5,41
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA13_02,37,0.6,0.2505,0.2493,-0.5,42
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA01_01,22,0.4,0.2505,0.2494,-0.4,43
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA17,66,1.1,0.2505,0.2515,0.4,44
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA25,43,0.7,0.2505,0.2513,0.3,45
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA22_01,92,1.6,0.2505,0.2497,-0.3,46
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA22_03,92,1.6,0.2505,0.2509,0.2,47
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Statistical power,MA22_02,92,1.6,0.2505,0.2509,0.2,48
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA39_1,37,0.6,2.9364,2.515,-14.3,1
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA26,459,8,2.9364,2.7388,-6.7,2
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA13_03,14,0.2,2.9364,2.8067,-4.4,3
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA01_02,14,0.2,2.9364,2.8411,-3.2,4
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA47_1,65,1.1,2.9364,2.8428,-3.2,5
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA15_04,11,0.2,2.9364,2.8463,-3.1,6
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA39_2,15,0.3,2.9364,2.8529,-2.8,7
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA45_01,28,0.5,2.9364,3.0044,2.3,8
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA31,734,12.8,2.9364,3.0044,2.3,9
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA14_02,167,2.9,2.9364,3.0044,2.3,10
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA15_03,11,0.2,2.9364,3.0044,2.3,11
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA32,13,0.2,2.9364,3.0042,2.3,12
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA47_2,38,0.7,2.9364,3.004,2.3,13
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA14_01,104,1.8,2.9364,3.0035,2.3,14
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA12,70,1.2,2.9364,3.0032,2.3,15
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA41_04,104,1.8,2.9364,3.0014,2.2,16
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA06_02,13,0.2,2.9364,2.872,-2.2,17
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA18,23,0.4,2.9364,3.0005,2.2,18
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA08,531,9.3,2.9364,2.9964,2,19
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA15_01,5,0.1,2.9364,2.8779,-2,20
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA05_02,16,0.3,2.9364,2.9922,1.9,21
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA24,139,2.4,2.9364,2.9907,1.9,22
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA34,555,9.7,2.9364,2.9895,1.8,23
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA05_03,4,0.1,2.9364,2.9895,1.8,24
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA28_01,84,1.5,2.9364,2.9882,1.8,25
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA41_01,110,1.9,2.9364,2.985,1.7,26
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA28_02,84,1.5,2.9364,2.9799,1.5,27
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA09,1297,22.6,2.9364,2.9778,1.4,28
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA45_02,11,0.2,2.9364,2.9731,1.3,29
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA15_02,9,0.2,2.9364,2.9707,1.2,30
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA13_02,37,0.6,2.9364,2.9679,1.1,31
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA01_01,22,0.4,2.9364,2.9675,1.1,32
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA22_01,92,1.6,2.9364,2.9657,1,33
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA20_cleaned,29,0.5,2.9364,2.9078,-1,34
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA22_02,92,1.6,2.9364,2.9583,0.7,35
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA22_03,92,1.6,2.9364,2.9583,0.7,36
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA43,13,0.2,2.9364,2.9149,-0.7,37
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA10,32,0.6,2.9364,2.9163,-0.7,38
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA25,43,0.7,2.9364,2.9556,0.7,39
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA23,24,0.4,2.9364,2.9181,-0.6,40
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA17,66,1.1,2.9364,2.9541,0.6,41
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA01_03,16,0.3,2.9364,2.9524,0.5,42
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA13_01,43,0.7,2.9364,2.9515,0.5,43
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA06_01,33,0.6,2.9364,2.9225,-0.5,44
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA21,11,0.2,2.9364,2.9306,-0.2,45
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA05_01,17,0.3,2.9364,2.9406,0.1,46
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA41_02,184,3.2,2.9364,2.9325,-0.1,47
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type M error,MA41_03,129,2.2,2.9364,2.9332,-0.1,48
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA39_1,37,0.6,0.0249,0.0225,-9.8,1
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA26,459,8,0.0249,0.0226,-9.5,2
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA13_03,14,0.2,0.0249,0.0227,-8.8,3
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA01_02,14,0.2,0.0249,0.0229,-8,4
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA47_1,65,1.1,0.0249,0.023,-7.9,5
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA15_04,11,0.2,0.0249,0.023,-7.8,6
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA39_2,15,0.3,0.0249,0.0231,-7.5,7
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA06_02,13,0.2,0.0249,0.0233,-6.5,8
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA15_01,5,0.1,0.0249,0.0234,-6.1,9
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA20_cleaned,29,0.5,0.0249,0.0241,-3.2,10
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA31,734,12.8,0.0249,0.0257,3,11
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA45_01,28,0.5,0.0249,0.0257,3,11
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA14_02,167,2.9,0.0249,0.0257,3,13
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA15_03,11,0.2,0.0249,0.0257,3,14
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA32,13,0.2,0.0249,0.0257,3,15
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA47_2,38,0.7,0.0249,0.0257,3,16
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA14_01,104,1.8,0.0249,0.0257,3,17
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA12,70,1.2,0.0249,0.0257,3,18
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA41_04,104,1.8,0.0249,0.0257,3,19
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA18,23,0.4,0.0249,0.0257,3,20
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA08,531,9.3,0.0249,0.0257,3,21
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA05_02,16,0.3,0.0249,0.0257,3,22
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA24,139,2.4,0.0249,0.0257,3,23
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA34,555,9.7,0.0249,0.0257,3,24
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA05_03,4,0.1,0.0249,0.0257,3,25
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA28_01,84,1.5,0.0249,0.0257,3,26
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA41_01,110,1.9,0.0249,0.0257,3,27
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA28_02,84,1.5,0.0249,0.0257,2.9,28
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA09,1297,22.6,0.0249,0.0257,2.9,29
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA45_02,11,0.2,0.0249,0.0257,2.9,30
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA15_02,9,0.2,0.0249,0.0256,2.9,31
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA13_02,37,0.6,0.0249,0.0256,2.8,32
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA01_01,22,0.4,0.0249,0.0256,2.8,33
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA22_01,92,1.6,0.0249,0.0256,2.7,34
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA22_02,92,1.6,0.0249,0.0256,2.5,35
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA22_03,92,1.6,0.0249,0.0256,2.5,36
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA43,13,0.2,0.0249,0.0244,-2.3,37
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA25,43,0.7,0.0249,0.0255,2.3,38
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA17,66,1.1,0.0249,0.0255,2.2,39
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA10,32,0.6,0.0249,0.0244,-2.2,40
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA01_03,16,0.3,0.0249,0.0255,2.1,41
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA13_01,43,0.7,0.0249,0.0254,2,42
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA23,24,0.4,0.0249,0.0245,-1.9,43
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA06_01,33,0.6,0.0249,0.0246,-1.3,44
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA05_01,17,0.3,0.0249,0.0252,1,45
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA21,11,0.2,0.0249,0.0249,-0.2,46
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA41_03,129,2.2,0.0249,0.025,0.1,47
Yang 2023 bias-corrected,Each meta-analysis weighted equally,Type S error,MA41_02,184,3.2,0.0249,0.0249,0,48
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA22_02,92,1.6,0.5308,0.5581,5.1,1
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA39_2,15,0.3,0.5308,0.5546,4.5,2
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA39_1,37,0.6,0.5308,0.5497,3.6,3
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA20_cleaned,29,0.5,0.5308,0.5472,3.1,4
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA09,1297,22.6,0.5308,0.5465,3,5
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA47_1,65,1.1,0.5308,0.5441,2.5,6
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA43,13,0.2,0.5308,0.5437,2.4,7
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA05_01,17,0.3,0.5308,0.5435,2.4,8
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA41_02,184,3.2,0.5308,0.5434,2.4,9
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA21,11,0.2,0.5308,0.5416,2,10
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA17,66,1.1,0.5308,0.5391,1.6,11
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA15_04,11,0.2,0.5308,0.5386,1.5,12
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA45_01,28,0.5,0.5308,0.5237,-1.3,13
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA01_03,16,0.3,0.5308,0.5237,-1.3,14
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA01_01,22,0.4,0.5308,0.5237,-1.3,15
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA28_01,84,1.5,0.5308,0.5237,-1.3,16
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA01_02,14,0.2,0.5308,0.5237,-1.3,17
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA28_02,84,1.5,0.5308,0.5237,-1.3,18
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA08,531,9.3,0.5308,0.5237,-1.3,19
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA14_02,167,2.9,0.5308,0.5237,-1.3,20
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA31,734,12.8,0.5308,0.5237,-1.3,21
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA15_02,9,0.2,0.5308,0.5237,-1.3,22
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA18,23,0.4,0.5308,0.5237,-1.3,23
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA24,139,2.4,0.5308,0.5237,-1.3,24
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA32,13,0.2,0.5308,0.5237,-1.3,25
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA47_2,38,0.7,0.5308,0.5238,-1.3,26
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA14_01,104,1.8,0.5308,0.5238,-1.3,27
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA45_02,11,0.2,0.5308,0.5239,-1.3,28
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA15_03,11,0.2,0.5308,0.5239,-1.3,29
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA25,43,0.7,0.5308,0.524,-1.3,30
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA23,24,0.4,0.5308,0.524,-1.3,31
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA06_02,13,0.2,0.5308,0.5243,-1.2,32
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA13_03,14,0.2,0.5308,0.5243,-1.2,33
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA41_04,104,1.8,0.5308,0.5244,-1.2,34
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA41_03,129,2.2,0.5308,0.5253,-1,35
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA22_03,92,1.6,0.5308,0.5363,1,36
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA26,459,8,0.5308,0.5258,-0.9,37
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA34,555,9.7,0.5308,0.526,-0.9,38
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA10,32,0.6,0.5308,0.5263,-0.9,39
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA13_01,43,0.7,0.5308,0.5265,-0.8,40
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA41_01,110,1.9,0.5308,0.5269,-0.7,41
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA06_01,33,0.6,0.5308,0.5344,0.7,42
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA22_01,92,1.6,0.5308,0.5328,0.4,43
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA13_02,37,0.6,0.5308,0.529,-0.4,44
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA05_03,4,0.1,0.5308,0.5291,-0.3,45
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA05_02,16,0.3,0.5308,0.5293,-0.3,46
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA15_01,5,0.1,0.5308,0.5301,-0.1,47
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Statistical power,MA12,70,1.2,0.5308,0.531,0,48
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA22_02,92,1.6,1.4619,1.3638,-6.7,1
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA39_2,15,0.3,1.4619,1.4182,-3,2
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA39_1,37,0.6,1.4619,1.434,-1.9,3
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA20_cleaned,29,0.5,1.4619,1.4393,-1.5,4
Yang 2024 bias-robust (FE + VCV),Each meta-analysis weighted equally,Type M error,MA09,1297,22.6,1.4619,1.4406,-1.5,5
