"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","se","var","ci.lo","ci.hi","row_id","vi","r_regt","yi_zr","se_zr","vi_zr"
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Relative Antennal Lobes","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,2.72,0.4856,2.79,0.33,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es446","supplementary table",NA,"s1",NA,NA,NA,NA,NA,0.4856,NA,NA,NA,NA,38,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Relative Optic Lobes","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,10.645,1.5733,11.33,1.2,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es447","supplementary table",NA,"s1",NA,NA,NA,NA,NA,1.5733,NA,NA,NA,NA,39,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Relative Mushroom Body Neuropil","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,7.61,1.897,7.76,1.2,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es448","supplementary table",NA,"s1",NA,NA,NA,NA,NA,1.897,NA,NA,NA,NA,40,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Relative Kenyon Cell Bodies","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,3.035,0.7521,3.25,0.48,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es449","supplementary table",NA,"s1",NA,NA,NA,NA,NA,0.7521,NA,NA,NA,NA,41,NA,NA,NA,0.235702260395516,0.0555555555555556
"Smith et al","Socially induced brain development in a facultatively eusocial sweat bee Megalopta genalis (Hailctidae)",2010,"Proceedings of the Royal Society B: Biological Sciences","Balboa, Republic of Panama","Insecta","Hymenoptera","Megalopta genalis","Other","Other","Relative Central Complex","Sociality","Neuroanatomy","brain region relative","Broadsociality","Intra","Wild","mean",21,1,"Intra",NA,"no",12,9,0.265,0.0373,0.27,0.03,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper85","study87","es450","supplementary table",NA,"s1",NA,NA,NA,NA,NA,0.0373,NA,NA,NA,NA,42,NA,NA,NA,0.235702260395516,0.0555555555555556
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Diencephalon (residuals)","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,0.0632286995515696,0.134503222296548,-0.0298206278026905,0.078138344492179,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es626","figure","5","2a","paper112_study114_es626_2a",NA,NA,NA,NA,0.134503222296548,NA,NA,NA,NA,43,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Mesencephalon (residuals)","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,-0.00213963963963968,0.107213531186471,0.0170045045045045,0.0463700442463337,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es627","figure","5","2b","paper112_study114_es627_2b",NA,NA,NA,NA,0.107213531186471,NA,NA,NA,NA,44,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Rhombencephalon (residuals)","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,0.0395024271844661,0.0935367691582667,0.010376213592233,0.107572151351289,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es628","figure","5","2c","paper112_study114_es628_2c",NA,NA,NA,NA,0.0935367691582667,NA,NA,NA,NA,45,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Brain Stem (residuals)","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,-0.0241784037558684,0.151369525484813,0.0497652582159626,0.133897446586071,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es629","figure","5","2d","paper112_study114_es629_2d",NA,NA,NA,NA,0.151369525484813,NA,NA,NA,NA,46,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Size ratio Diencephlon to Combined Parts (mesencephlon, rhombencephalon, brain stem)","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,0.570418326693227,0.0217030825031872,0.512001992031873,0.0356170938355441,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es630","figure","5","3","paper112_study114_es630_3",NA,NA,NA,NA,0.0217030825031872,NA,NA,NA,NA,47,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Size ratio Diencephlon to mesencephlon","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,1.22024572649573,0.0327446028724986,1.10138888888889,0.115584017875163,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es631","figure","6","4a","paper112_study114_es631_4a",NA,NA,NA,NA,0.0327446028724986,NA,NA,NA,NA,48,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Size ratio Diencephlon to rhombencephalon","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,1.65363247863248,0.0793950595991509,1.51501068376068,0.133044024396664,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es632","figure","6","4b","paper112_study114_es632_4b",NA,NA,NA,NA,0.0793950595991509,NA,NA,NA,NA,49,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Size ratio Diencephlon to brain stem","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,3.0695945945946,0.177514756893991,2.61013513513513,0.197156340983737,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es633","figure","6","4c","paper112_study114_es633_4c",NA,NA,NA,NA,0.177514756893991,NA,NA,NA,NA,50,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Size ratio Mesencephlon to rhombencephalon","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,1.35866596638655,0.100364149428973,1.38356092436975,0.140548580927624,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es634","figure","6","4d","paper112_study114_es634_4d",NA,NA,NA,NA,0.100364149428973,NA,NA,NA,NA,51,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Size ratio Mesencephlon to brain stem","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,2.52359271523179,0.266108915107557,2.37996688741722,0.258775585610126,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es635","figure","6","4e","paper112_study114_es635_4e",NA,NA,NA,NA,0.266108915107557,NA,NA,NA,NA,52,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Size ratio Brain Stem to rhombencephalon","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",13,1,"Intra",NA,"no",7,6,0.542471590909091,0.0385210144752801,0.579971590909091,0.0292727337059902,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es636","figure","6","4f","paper112_study114_es636_4f",NA,NA,NA,NA,0.0385210144752801,NA,NA,NA,NA,53,NA,NA,NA,0.316227766016838,0.1
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Telecephalon (residuals)","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",9,1,"Intra",NA,"no",5,4,0.084771573604061,0.195819422371512,-0.0819796954314719,0.221527540005029,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es637","figure","7","5a","paper112_study114_es637_5a",NA,NA,NA,NA,0.195819422371512,NA,NA,NA,NA,54,NA,NA,NA,0.408248290463863,0.166666666666667
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Size Ratio Telencephalon (mesencephalon, rhombencepahlon, brain stem)","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",9,1,"Intra",NA,"no",5,4,0.454313725490196,0.0365075409674119,0.401176470588235,0.0464643906327635,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es638","figure","7","5b","paper112_study114_es638_5b",NA,NA,NA,NA,0.0365075409674119,NA,NA,NA,NA,55,NA,NA,NA,0.408248290463863,0.166666666666667
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Telecephalon to diencephalon ratio","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",9,1,"Intra",NA,"no",5,4,0.789453125,0.0405400538773242,0.75546875,0.14070289001226,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es639","figure","7","5c","paper112_study114_es639_5c",NA,NA,NA,NA,0.0405400538773242,NA,NA,NA,NA,56,NA,NA,NA,0.408248290463863,0.166666666666667
"Triki et al","Population densities predict forebrain size variation in the cleaner fish Labroides dimidiatus",2019,"Proceedings of the Royal Society B: Biological Sciences","Neuchâtel, Switzerland","Actinopterygii","Labriformes","Labroides dimidiatus","Other","Other","Forebrain size ratio to rest of brain","Social Density","Neuroanatomy","brain region relative","Groupsize","Intra","Captive","mean",9,1,"Intra",NA,"no",5,4,1.0301282051282,0.0554457442460325,0.909188034188034,0.0935128625177586,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper112","study114","es640","figure","7","5d","paper112_study114_es640_5d",NA,NA,NA,NA,0.0554457442460325,NA,NA,NA,NA,57,NA,NA,NA,0.408248290463863,0.166666666666667
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Absolute Brain Volume","Colony Size","Neuroanatomy","brain size absolute","Groupsize","Intra","Wild","r",29,1,"Intra",-0.0744250783889058,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es01","figure","5","3a","paper01_study01_es01_3a",-0.0744250783889058,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0353197320341801,NA,-0.0745629526916011,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Absolute Brain Volume","Colony Size","Neuroanatomy","brain size absolute","Groupsize","Intra","Wild","r",34,1,"Intra",0.355416317250221,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es02","figure","5","3a","paper01_study01_es02_3a",0.355416317250221,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0231307702093849,NA,0.371629638013325,0.179605302026775,0.032258064516129
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Body Lateral Lip %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",29,1,"Intra",0.380781864601903,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es03","figure","5","4a","paper01_study01_es03_4a",0.380781864601903,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0261083515516484,NA,0.400973787991875,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Body Lateral Lip %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",34,1,"Intra",-0.468700633327845,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es04","figure","5","4a","paper01_study01_es04_4a",-0.468700633327845,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0184514805962038,NA,-0.508403862277247,0.179605302026775,0.032258064516129
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Body Medial Lip %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",29,1,"Intra",0.458873756497248,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es05","figure","5","4b","paper01_study01_es05_4b",0.458873756497248,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222574079575212,NA,0.49588370680313,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Body Medial Lip %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",34,1,"Intra",-0.10432331569143,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es06","figure","5","4b","paper01_study01_es06_4b",-0.10432331569143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0296470223940869,NA,-0.104704268964433,0.179605302026775,0.032258064516129
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Body Lateral Collar %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",29,1,"Intra",0.181603355489249,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es07","figure","5","4c","paper01_study01_es07_4c",0.181603355489249,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333974324412442,NA,0.183640228214353,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Body Lateral Collar %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",34,1,"Intra",-0.291692104897267,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es08","figure","5","4c","paper01_study01_es08_4c",-0.291692104897267,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0253657808265183,NA,-0.300414733895019,0.179605302026775,0.032258064516129
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Body Medial Collar %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",29,1,"Intra",-0.112391960762186,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es09","figure","5","4d","paper01_study01_es09_4d",-0.112391960762186,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0348177021623112,NA,-0.112868823554945,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Body Medial Collar %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",34,1,"Intra",-0.105564785456451,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es10","figure","5","4d","paper01_study01_es10_4d",-0.105564785456451,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0296314042176846,NA,-0.105959563778178,0.179605302026775,0.032258064516129
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Optic Lamina %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",29,1,"Intra",0.260300317727121,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es11","figure","esm15","s4a","paper01_study01_es11_s4a",0.260300317727121,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0310385142617624,NA,0.266430524944576,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Optic Lamina %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",34,1,"Intra",0.110491795949335,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es12","figure","esm15","s4a","paper01_study01_es12_s4a",0.110491795949335,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0295676415754268,NA,0.110944762659481,0.179605302026775,0.032258064516129
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Optic Medulla %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",29,1,"Intra",0.202926213397506,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es13","figure","esm15","s4b","paper01_study01_es13_s4b",0.202926213397506,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0328334863511926,NA,0.205782561831135,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Optic Medulla %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",34,1,"Intra",0.22848951031655,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es14","figure","esm15","s4b","paper01_study01_es14_s4b",0.22848951031655,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0272215365408031,NA,0.232595192562128,0.179605302026775,0.032258064516129
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Optic Lobula %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",29,1,"Intra",0.360368164142354,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es15","figure","esm15","s4c","paper01_study01_es15_s4c",0.360368164142354,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0270405195100637,NA,0.377308948332723,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Optic Lobula %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",34,1,"Intra",0.0911477335092167,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es16","figure","esm15","s4c","paper01_study01_es16_s4c",0.0911477335092167,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0298016122033212,NA,0.0914014149541445,0.179605302026775,0.032258064516129
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Vertical Lobe %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",29,1,"Intra",0.0336676118312387,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es17","figure","esm16","s5a","paper01_study01_es17_s5a",0.0336676118312387,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0356333667381337,NA,0.033680341326506,0.196116135138184,0.0384615384615385
"Amador-Vargas et al","Specialization and group size: brain and behavioural correlates of colony size in ants lacking morphological castes",2015,"Proceedings of the Royal Society B: Biological Sciences","Texas, USA","Insecta","Hymenoptera","Pseudomyrmex spinicola","Other","Other","Mushroom Vertical Lobe %","Colony Size","Neuroanatomy","brain region relative","Groupsize","Intra","Wild","r",34,1,"Intra",0.189750282903272,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTH",NA,NA,"paper01","study01","es18","figure","esm16","s5a","paper01_study01_es18_s5a",0.189750282903272,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0281601828040315,NA,0.192078112459464,0.179605302026775,0.032258064516129
